"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3"
"DNPEP","0.0182","0.366","0.0182","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"DUSP16","0.0464","0.366","0.191","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-24-3p",""
"EDA2R","0.0712","0.366","0.0727","1","hsa-miR-24-3p","",""
"EIF4G1","0.0712","0.366","0.0727","1","hsa-miR-503-5p","",""
"ENTPD6","0.0538","0.366","0.0545","1","hsa-miR-24-3p","",""
"ERLEC1","0.0538","0.366","0.0545","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"EXOG","0.0361","0.366","0.0364","1","hsa-miR-24-3p","",""
"FABP3","0.0538","0.366","0.0545","1","hsa-miR-215-5p","",""
"FAM110C","0.0712","0.366","0.0727","1","hsa-miR-503-5p","",""
"FAM210A","0.0712","0.366","0.0727","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"FAM26E","0.0538","0.366","0.0545","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"FAM45A","0.0361","0.366","0.0364","1","hsa-miR-24-3p","",""
"FAM78B","0.0361","0.366","0.0364","1","hsa-miR-24-3p","",""
"FANCC","0.0182","0.366","0.0182","1","hsa-miR-24-3p","",""
"FANCE","0.0182","0.366","0.0182","1","hsa-miR-24-3p","",""
"FBXW4","0.0712","0.366","0.0727","1","hsa-miR-24-3p","",""
