"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3"
"GAS7","0.262","0.414","0.291","1","hsa-miR-24-3p","",""
"GPR61","0.262","0.414","0.291","1","hsa-miR-24-3p","",""
"HIC1","0.262","0.414","0.291","1","hsa-miR-24-3p","",""
"LOX","0.262","0.414","0.291","1","hsa-miR-24-3p","",""
"LPP","0.261","0.414","0.500","2","hsa-miR-24-3p","hsa-miR-503-5p",""
"MDGA1","0.262","0.414","0.291","1","hsa-miR-24-3p","",""
"NAV2","0.262","0.414","0.291","1","hsa-miR-24-3p","",""
"NPAT","0.262","0.414","0.291","1","hsa-miR-24-3p","",""
"PDP2","0.262","0.414","0.291","1","hsa-miR-24-3p","",""
"PIANP","0.262","0.414","0.291","1","hsa-miR-24-3p","",""
"POU3F2","0.262","0.414","0.291","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"RAP2A","0.262","0.414","0.291","1","hsa-miR-24-3p","",""
"RIMKLB","0.262","0.414","0.291","1","hsa-miR-503-5p","",""
"SCN3A","0.262","0.414","0.291","1","hsa-miR-24-3p","",""
"SCN3B","0.262","0.414","0.291","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"SCRT2","0.262","0.414","0.291","1","hsa-miR-24-3p","",""
"SLIT2","0.262","0.414","0.291","1","hsa-miR-503-5p","",""
"TMEM151B","0.262","0.414","0.291","1","hsa-miR-24-3p","",""
"TSC22D2","0.253","0.414","0.491","2","hsa-miR-24-3p","hsa-miR-503-5p",""
"WIPI2","0.262","0.414","0.291","1","hsa-miR-503-5p","",""
"ZSCAN29","0.262","0.414","0.291","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"AP2B1","0.277","0.417","0.309","1","hsa-miR-24-3p","",""
"ATXN7L3B","0.277","0.417","0.309","1","hsa-miR-24-3p","",""
"AVL9","0.277","0.417","0.309","1","hsa-miR-24-3p","",""
"BCORL1","0.277","0.417","0.309","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"CCDC117","0.277","0.417","0.309","1","hsa-miR-24-3p","",""
"CDKN1B","0.277","0.417","0.309","1","hsa-miR-24-3p","",""
"CREBL2","0.277","0.417","0.309","1","hsa-miR-24-3p","",""
"CRTC1","0.277","0.417","0.309","1","hsa-miR-24-3p","",""
"DIXDC1","0.277","0.417","0.309","1","hsa-miR-503-5p","",""
"EDNRB","0.277","0.417","0.309","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"ERC2","0.277","0.417","0.309","1","hsa-miR-24-3p","",""
"FAM179A","0.277","0.417","0.309","1","hsa-miR-24-3p","",""
"FBXO21","0.277","0.417","0.309","1","hsa-miR-503-5p","",""
"GAB2","0.277","0.417","0.309","1","hsa-miR-24-3p","",""
"GPR63","0.277","0.417","0.309","1","hsa-miR-503-5p","",""
"GRID1","0.277","0.417","0.309","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"GTPBP1","0.277","0.417","0.309","1","hsa-miR-24-3p","",""
"HAUS5","0.277","0.417","0.309","1","hsa-miR-24-3p","",""
"HSPE1-MOB4","0.277","0.417","0.309","1","hsa-miR-503-5p","",""
"IPO9","0.277","0.417","0.309","1","hsa-miR-503-5p","",""
"IPPK","0.277","0.417","0.309","1","hsa-miR-503-5p","",""
"IRF1","0.277","0.417","0.309","1","hsa-miR-24-3p","",""
"KIAA1239","0.277","0.417","0.309","1","hsa-miR-24-3p","",""
"KPNA4","0.268","0.417","0.509","2","hsa-miR-215-5p","hsa-miR-24-3p",""
"MBTPS2","0.277","0.417","0.309","1","hsa-miR-24-3p","",""
"MOB4","0.277","0.417","0.309","1","hsa-miR-503-5p","",""
"NBEAL1","0.277","0.417","0.309","1","hsa-miR-503-5p","",""
"NFAT5","0.276","0.417","0.518","2","hsa-miR-215-5p","hsa-miR-24-3p",""
"NKD1","0.277","0.417","0.309","1","hsa-miR-503-5p","",""
"NREP","0.277","0.417","0.309","1","hsa-miR-24-3p","",""
"NUDT3","0.277","0.417","0.309","1","hsa-miR-24-3p","",""
"PAK4","0.277","0.417","0.309","1","hsa-miR-24-3p","",""
"PHTF2","0.277","0.417","0.309","1","hsa-miR-215-5p","",""
"PKP4","0.277","0.417","0.309","1","hsa-miR-215-5p","",""
"PRKAR1A","0.277","0.417","0.309","1","hsa-miR-215-5p","",""
"SEMA4G","0.277","0.417","0.309","1","hsa-miR-24-3p","",""
"SLC16A2","0.277","0.417","0.309","1","hsa-miR-24-3p","",""
"STAU2","0.277","0.417","0.309","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"TBC1D22B","0.277","0.417","0.309","1","hsa-miR-24-3p","",""
"TMEM120B","0.277","0.417","0.309","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"TMEM200C","0.277","0.417","0.309","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"UGCG","0.277","0.417","0.309","1","hsa-miR-24-3p","",""
"VTI1B","0.277","0.417","0.309","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"WASF3","0.277","0.417","0.309","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"ZC3H11A","0.277","0.417","0.309","1","hsa-miR-503-5p","",""
"ADCYAP1R1","0.291","0.419","0.327","1","hsa-miR-24-3p","",""
"ANKRD44","0.291","0.419","0.327","1","hsa-miR-215-5p","",""
"ARHGAP20","0.291","0.419","0.327","1","hsa-miR-503-5p","",""
"ATL2","0.291","0.419","0.327","1","hsa-miR-24-3p","",""
"CBFA2T3","0.291","0.419","0.327","1","hsa-miR-503-5p","",""
"CDC6","0.291","0.419","0.327","1","hsa-miR-215-5p","",""
"DCC","0.291","0.419","0.327","1","hsa-miR-215-5p","",""
"DLC1","0.291","0.419","0.327","1","hsa-miR-24-3p","",""
"DLG5","0.291","0.419","0.327","1","hsa-miR-215-5p","",""
"DNAJA2","0.291","0.419","0.327","1","hsa-miR-503-5p","",""
"DNAJB14","0.291","0.419","0.327","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"DVL3","0.291","0.419","0.327","1","hsa-miR-24-3p","",""
"EHF","0.291","0.419","0.327","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"FOXK1","0.291","0.419","0.327","1","hsa-miR-503-5p","",""
"FURIN","0.291","0.419","0.327","1","hsa-miR-24-3p","",""
"HEYL","0.291","0.419","0.327","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"KCMF1","0.284","0.419","0.527","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-24-3p",""
"KDM2B","0.291","0.419","0.327","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"KIF21B","0.291","0.419","0.327","1","hsa-miR-24-3p","",""
"MYBL1","0.291","0.419","0.327","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"NLN","0.291","0.419","0.327","1","hsa-miR-24-3p","",""
"NUP50","0.291","0.419","0.327","1","hsa-miR-503-5p","",""
"OSBPL10","0.291","0.419","0.327","1","hsa-miR-215-5p","",""
"PAM","0.291","0.419","0.327","1","hsa-miR-503-5p","",""
"PEA15","0.291","0.419","0.327","1","hsa-miR-24-3p","",""
"PER2","0.291","0.419","0.327","1","hsa-miR-24-3p","",""
"PGM3","0.291","0.419","0.327","1","hsa-miR-24-3p","",""
"PLEKHA6","0.291","0.419","0.327","1","hsa-miR-24-3p","",""
"RANBP10","0.291","0.419","0.327","1","hsa-miR-24-3p","",""
"RAP1GAP2","0.291","0.419","0.327","1","hsa-miR-215-5p","",""
"SIRPA","0.291","0.419","0.327","1","hsa-miR-24-3p","",""
"SLC12A6","0.291","0.419","0.327","1","hsa-miR-24-3p","",""
"SLCO3A1","0.291","0.419","0.327","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"SOCS4","0.291","0.419","0.327","1","hsa-miR-24-3p","",""
"ST5","0.291","0.419","0.327","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"TBC1D30","0.291","0.419","0.327","1","hsa-miR-24-3p","",""
"TCERG1","0.291","0.419","0.327","1","hsa-miR-24-3p","",""
"TLK1","0.291","0.419","0.327","1","hsa-miR-503-5p","",""
"TLN1","0.291","0.419","0.327","1","hsa-miR-503-5p","",""
"TMEM136","0.291","0.419","0.327","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"TMEM194A","0.291","0.419","0.327","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"UQCC1","0.291","0.419","0.327","1","hsa-miR-24-3p","",""
"ZBTB8B","0.291","0.419","0.327","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"ZDHHC18","0.291","0.419","0.327","1","hsa-miR-503-5p","",""
"ACVR1B","0.305","0.426","0.345","1","hsa-miR-24-3p","",""
"ACVR2B","0.300","0.426","0.545","2","hsa-miR-215-5p","hsa-miR-503-5p",""
"AIFM1","0.305","0.426","0.345","1","hsa-miR-503-5p","",""
"ATF7IP","0.305","0.426","0.345","1","hsa-miR-24-3p","",""
"CD2AP","0.305","0.426","0.345","1","hsa-miR-503-5p","",""
"CDC37L1","0.305","0.426","0.345","1","hsa-miR-503-5p","",""
"CDK5R1","0.305","0.426","0.345","1","hsa-miR-503-5p","",""
"CSRNP2","0.305","0.426","0.345","1","hsa-miR-24-3p","",""
"EBF2","0.305","0.426","0.345","1","hsa-miR-24-3p","",""
"ELL","0.305","0.426","0.345","1","hsa-miR-24-3p","",""
"FAM175B","0.305","0.426","0.345","1","hsa-miR-24-3p","",""
"FRYL","0.305","0.426","0.345","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"IGFBP5","0.305","0.426","0.345","1","hsa-miR-24-3p","",""
"LHX4","0.305","0.426","0.345","1","hsa-miR-503-5p","",""
"MBD6","0.305","0.426","0.345","1","hsa-miR-24-3p","",""
"NDUFB9","0.305","0.426","0.345","1","hsa-miR-215-5p","",""
"NMNAT2","0.305","0.426","0.345","1","hsa-miR-503-5p","",""
"PAX2","0.305","0.426","0.345","1","hsa-miR-503-5p","",""
"POLH","0.305","0.426","0.345","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"PTPN3","0.305","0.426","0.345","1","hsa-miR-503-5p","",""
"PTPRF","0.305","0.426","0.345","1","hsa-miR-24-3p","",""
"SPATS2L","0.305","0.426","0.345","1","hsa-miR-24-3p","",""
"SRCAP","0.305","0.426","0.345","1","hsa-miR-503-5p","",""
"SRRM4","0.305","0.426","0.345","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"STX6","0.305","0.426","0.345","1","hsa-miR-24-3p","",""
"TNKS","0.305","0.426","0.345","1","hsa-miR-24-3p","",""
"TOP1","0.305","0.426","0.345","1","hsa-miR-24-3p","",""
"WDR7","0.305","0.426","0.345","1","hsa-miR-215-5p","",""
"WDTC1","0.305","0.426","0.345","1","hsa-miR-24-3p","",""
"ZHX3","0.305","0.426","0.345","1","hsa-miR-503-5p","",""
"ADCY9","0.319","0.431","0.364","1","hsa-miR-24-3p","",""
"AGPAT3","0.319","0.431","0.364","1","hsa-miR-24-3p","",""
"ATP2A2","0.319","0.431","0.364","1","hsa-miR-24-3p","",""
"CBX5","0.316","0.431","0.564","2","hsa-miR-24-3p","hsa-miR-503-5p",""
"CHST11","0.319","0.431","0.364","1","hsa-miR-24-3p","",""
"CMTM4","0.319","0.431","0.364","1","hsa-miR-24-3p","",""
"DBNL","0.319","0.431","0.364","1","hsa-miR-24-3p","",""
"EIF1","0.319","0.431","0.364","1","hsa-miR-215-5p","",""
"GABPA","0.319","0.431","0.364","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"GAPVD1","0.319","0.431","0.364","1","hsa-miR-215-5p","",""
"GK5","0.319","0.431","0.364","1","hsa-miR-24-3p","",""
"HECTD1","0.319","0.431","0.364","1","hsa-miR-503-5p","",""
"KCNJ2","0.319","0.431","0.364","1","hsa-miR-24-3p","",""
"KIF26B","0.319","0.431","0.364","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"KLF6","0.319","0.431","0.364","1","hsa-miR-24-3p","",""
"KLHL24","0.319","0.431","0.364","1","hsa-miR-24-3p","",""
"MOCS1","0.319","0.431","0.364","1","hsa-miR-24-3p","",""
"NCOA3","0.319","0.431","0.364","1","hsa-miR-215-5p","",""
"PAPD4","0.319","0.431","0.364","1","hsa-miR-503-5p","",""
"PLEKHA8","0.319","0.431","0.364","1","hsa-miR-24-3p","",""
"PMEPA1","0.319","0.431","0.364","1","hsa-miR-24-3p","",""
"RCAN1","0.319","0.431","0.364","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"RUNX1T1","0.316","0.431","0.564","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-215-5p",""
"SETD1B","0.319","0.431","0.364","1","hsa-miR-503-5p","",""
"SMAD7","0.319","0.431","0.364","1","hsa-miR-503-5p","",""
"SORT1","0.319","0.431","0.364","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"SPTLC2","0.319","0.431","0.364","1","hsa-miR-24-3p","",""
"STC1","0.319","0.431","0.364","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"TMEM55A","0.319","0.431","0.364","1","hsa-miR-503-5p","",""
"TSKU","0.319","0.431","0.364","1","hsa-miR-24-3p","",""
"TSPAN14","0.319","0.431","0.364","1","hsa-miR-24-3p","",""
"UBN2","0.316","0.431","0.564","2","hsa-miR-24-3p","hsa-miR-503-5p",""
"VAT1","0.319","0.431","0.364","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"VGLL3","0.319","0.431","0.364","1","hsa-miR-24-3p","",""
"VPS53","0.319","0.431","0.364","1","hsa-miR-215-5p","",""
"WNK1","0.319","0.431","0.364","1","hsa-miR-215-5p","",""
"ADD3","0.332","0.432","0.382","1","hsa-miR-24-3p","",""
"AGFG2","0.332","0.432","0.382","1","hsa-miR-24-3p","",""
"AGO3","0.332","0.432","0.582","2","hsa-miR-24-3p","hsa-miR-503-5p",""
"AGPS","0.332","0.432","0.382","1","hsa-miR-24-3p","",""
"ARHGAP19-SLIT1","0.332","0.432","0.382","1","hsa-miR-24-3p","",""
"ATP2B1","0.332","0.432","0.382","1","hsa-miR-24-3p","",""
"BRD4","0.332","0.432","0.382","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"CELF2","0.324","0.432","0.573","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-24-3p",""
"CREB5","0.332","0.432","0.382","1","hsa-miR-215-5p","",""
"CTDSPL","0.332","0.432","0.382","1","hsa-miR-503-5p","",""
"CYP26B1","0.332","0.432","0.382","1","hsa-miR-503-5p","",""
"DTNA","0.332","0.432","0.382","1","hsa-miR-24-3p","",""
"EIF4G2","0.332","0.432","0.382","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"FAM107B","0.332","0.432","0.382","1","hsa-miR-24-3p","",""
"FAM46A","0.332","0.432","0.382","1","hsa-miR-24-3p","",""
"FAM73A","0.332","0.432","0.382","1","hsa-miR-503-5p","",""
"FAM73B","0.332","0.432","0.382","1","hsa-miR-503-5p","",""
"FGF2","0.332","0.432","0.382","1","hsa-miR-503-5p","",""
"FRMD4B","0.332","0.432","0.382","1","hsa-miR-215-5p","",""
"GAREM","0.332","0.432","0.382","1","hsa-miR-503-5p","",""
"GFPT1","0.332","0.432","0.382","1","hsa-miR-24-3p","",""
"GHR","0.332","0.432","0.382","1","hsa-miR-503-5p","",""
"GIGYF1","0.332","0.432","0.382","1","hsa-miR-24-3p","",""
"GLCE","0.332","0.432","0.382","1","hsa-miR-503-5p","",""
"GNAI3","0.332","0.432","0.382","1","hsa-miR-503-5p","",""
"IGF2R","0.332","0.432","0.382","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"INSIG1","0.332","0.432","0.382","1","hsa-miR-24-3p","",""
"LHFPL2","0.332","0.432","0.382","1","hsa-miR-24-3p","",""
"MGAT4A","0.332","0.432","0.382","1","hsa-miR-24-3p","",""
"N4BP1","0.332","0.432","0.382","1","hsa-miR-503-5p","",""
"NRP1","0.332","0.432","0.382","1","hsa-miR-24-3p","",""
"PRKACB","0.332","0.432","0.382","1","hsa-miR-215-5p","",""
"RARB","0.332","0.432","0.382","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"RPS6KB1","0.332","0.432","0.382","1","hsa-miR-24-3p","",""
"SEMA6A","0.332","0.432","0.382","1","hsa-miR-24-3p","",""
"SENP5","0.332","0.432","0.382","1","hsa-miR-503-5p","",""
"SNN","0.332","0.432","0.382","1","hsa-miR-24-3p","",""
"STK40","0.332","0.432","0.382","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"TFCP2L1","0.332","0.432","0.382","1","hsa-miR-503-5p","",""
"TMED8","0.332","0.432","0.382","1","hsa-miR-24-3p","",""
"TRABD2B","0.332","0.432","0.382","1","hsa-miR-503-5p","",""
"TRPM7","0.332","0.432","0.382","1","hsa-miR-215-5p","",""
"UBA6","0.332","0.432","0.382","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"UNC13A","0.332","0.432","0.382","1","hsa-miR-503-5p","",""
"AMER1","0.346","0.440","0.400","1","hsa-miR-215-5p","",""
"BTG2","0.346","0.440","0.400","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"CACNA1E","0.346","0.440","0.400","1","hsa-miR-24-3p","",""
"CAMK2D","0.346","0.440","0.400","1","hsa-miR-24-3p","",""
"CXADR","0.346","0.440","0.400","1","hsa-miR-24-3p","",""
"JARID2","0.346","0.440","0.400","1","hsa-miR-503-5p","",""
"KAT6A","0.346","0.440","0.400","1","hsa-miR-24-3p","",""
"KIAA0087","0.346","0.440","0.400","1","hsa-miR-24-3p","",""
"KIF1B","0.346","0.440","0.400","1","hsa-miR-215-5p","",""
"NEUROD1","0.346","0.440","0.400","1","hsa-miR-24-3p","",""
"NPTX1","0.346","0.440","0.400","1","hsa-miR-24-3p","",""
"NRAS","0.346","0.440","0.400","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"PIK3R3","0.346","0.440","0.400","1","hsa-miR-24-3p","",""
"PTPN9","0.346","0.440","0.400","1","hsa-miR-24-3p","",""
"RBM27","0.346","0.440","0.400","1","hsa-miR-24-3p","",""
"REEP1","0.346","0.440","0.400","1","hsa-miR-24-3p","",""
"RPS6KA6","0.346","0.440","0.400","1","hsa-miR-503-5p","",""
"ST8SIA3","0.346","0.440","0.400","1","hsa-miR-503-5p","",""
"UBE2V2","0.346","0.440","0.400","1","hsa-miR-215-5p","",""
"VCPIP1","0.346","0.440","0.400","1","hsa-miR-24-3p","",""
"VTI1A","0.346","0.440","0.400","1","hsa-miR-24-3p","",""
"YTHDC1","0.346","0.440","0.400","1","hsa-miR-503-5p","",""
"ZNF395","0.346","0.440","0.400","1","hsa-miR-24-3p","",""
"AAK1","0.356","0.449","0.609","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-24-3p",""
"AK4","0.359","0.449","0.418","1","hsa-miR-503-5p","",""
"APPL1","0.359","0.449","0.418","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"ARL4C","0.359","0.449","0.418","1","hsa-miR-215-5p","",""
"CLVS2","0.359","0.449","0.418","1","hsa-miR-215-5p","",""
"FAM208A","0.359","0.449","0.418","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"GABPB2","0.359","0.449","0.418","1","hsa-miR-215-5p","",""
"GPR75","0.359","0.449","0.418","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"KAT6B","0.359","0.449","0.418","1","hsa-miR-24-3p","",""
"KIAA0355","0.359","0.449","0.418","1","hsa-miR-24-3p","",""
"LIN28A","0.359","0.449","0.418","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"NKAP","0.359","0.449","0.418","1","hsa-miR-24-3p","",""
"PHACTR2","0.359","0.449","0.418","1","hsa-miR-503-5p","",""
"PTPRT","0.359","0.449","0.418","1","hsa-miR-215-5p","",""
"RAB5B","0.359","0.449","0.418","1","hsa-miR-24-3p","",""
"TAOK1","0.356","0.449","0.609","2","hsa-miR-215-5p","hsa-miR-24-3p",""
"TGIF2","0.359","0.449","0.418","1","hsa-miR-24-3p","",""
"ZBTB39","0.359","0.449","0.418","1","hsa-miR-503-5p","",""
"ZFP36L1","0.359","0.449","0.418","1","hsa-miR-215-5p","",""
"AC012215.1","0.372","0.458","0.436","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"ATXN7L3","0.372","0.458","0.436","1","hsa-miR-24-3p","",""
"BCL9L","0.372","0.458","0.436","1","hsa-miR-503-5p","",""
"CNOT6","0.372","0.458","0.436","1","hsa-miR-24-3p","",""
"FGF7","0.372","0.458","0.436","1","hsa-miR-503-5p","",""
"GPC4","0.372","0.458","0.436","1","hsa-miR-24-3p","",""
"HEG1","0.372","0.458","0.436","1","hsa-miR-24-3p","",""
"JAZF1","0.372","0.458","0.436","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"KIAA1549L","0.372","0.458","0.436","1","hsa-miR-24-3p","",""
"KIAA2018","0.372","0.458","0.436","1","hsa-miR-24-3p","",""
"MARK1","0.372","0.458","0.436","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"OGT","0.372","0.458","0.436","1","hsa-miR-24-3p","",""
"PVRL1","0.372","0.458","0.436","1","hsa-miR-503-5p","",""
"ROR1","0.372","0.458","0.436","1","hsa-miR-24-3p","",""
"SKI","0.372","0.458","0.436","1","hsa-miR-503-5p","",""
"SMTNL2","0.372","0.458","0.436","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"SNX27","0.372","0.458","0.436","1","hsa-miR-24-3p","",""
"UCK2","0.372","0.458","0.436","1","hsa-miR-24-3p","",""
"WAPAL","0.372","0.458","0.436","1","hsa-miR-24-3p","",""
"WDFY2","0.372","0.458","0.436","1","hsa-miR-24-3p","",""
"BPTF","0.385","0.467","0.455","1","hsa-miR-503-5p","",""
"DESI1","0.385","0.467","0.455","1","hsa-miR-503-5p","",""
"DICER1","0.385","0.467","0.455","1","hsa-miR-215-5p","",""
"EIF5","0.385","0.467","0.455","1","hsa-miR-24-3p","",""
"FSTL4","0.385","0.467","0.455","1","hsa-miR-503-5p","",""
"MARCH6","0.385","0.467","0.455","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"NFATC2","0.385","0.467","0.455","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"NFE2L1","0.385","0.467","0.455","1","hsa-miR-503-5p","",""
"PDCD4","0.385","0.467","0.455","1","hsa-miR-503-5p","",""
"PGM2L1","0.385","0.467","0.455","1","hsa-miR-503-5p","",""
"RAB2A","0.385","0.467","0.455","1","hsa-miR-215-5p","",""
"RNF165","0.385","0.467","0.455","1","hsa-miR-24-3p","",""
"SMAD5","0.385","0.467","0.455","1","hsa-miR-24-3p","",""
"SP8","0.385","0.467","0.455","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"SYT1","0.385","0.467","0.455","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"TMCC1","0.385","0.467","0.455","1","hsa-miR-503-5p","",""
"ATAD2B","0.398","0.475","0.473","1","hsa-miR-24-3p","",""
"CLCN3","0.398","0.475","0.473","1","hsa-miR-24-3p","",""
"DCAF12","0.398","0.475","0.473","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"GATSL2","0.398","0.475","0.473","1","hsa-miR-24-3p","",""
"GBX2","0.398","0.475","0.473","1","hsa-miR-24-3p","",""
"GOSR1","0.398","0.475","0.473","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"GPBP1","0.398","0.475","0.473","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"HRK","0.398","0.475","0.473","1","hsa-miR-24-3p","",""
"IPMK","0.398","0.475","0.473","1","hsa-miR-24-3p","",""
"MFHAS1","0.398","0.475","0.473","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"NEDD4L","0.398","0.475","0.473","1","hsa-miR-24-3p","",""
"PAQR3","0.398","0.475","0.473","1","hsa-miR-24-3p","",""
"PLEKHM3","0.398","0.475","0.473","1","hsa-miR-24-3p","",""
"PRKCA","0.398","0.475","0.473","1","hsa-miR-24-3p","",""
"RAB11FIP1","0.398","0.475","0.473","1","hsa-miR-24-3p","",""
"SLITRK3","0.398","0.475","0.473","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"SOGA3","0.398","0.475","0.473","1","hsa-miR-215-5p","",""
"UNC5D","0.398","0.475","0.473","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"WASF2","0.398","0.475","0.473","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"AGO4","0.410","0.484","0.491","1","hsa-miR-24-3p","",""
"BCL2","0.410","0.484","0.491","1","hsa-miR-503-5p","",""
"C17orf85","0.410","0.484","0.491","1","hsa-miR-24-3p","",""
"C1orf21","0.410","0.484","0.491","1","hsa-miR-503-5p","",""
"EBF3","0.410","0.484","0.491","1","hsa-miR-24-3p","",""
"EXOC5","0.410","0.484","0.491","1","hsa-miR-24-3p","",""
"GDNF","0.410","0.484","0.491","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"GRSF1","0.410","0.484","0.491","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"IKZF3","0.410","0.484","0.491","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"MAFG","0.410","0.484","0.491","1","hsa-miR-24-3p","",""
"NFYA","0.410","0.484","0.491","1","hsa-miR-503-5p","",""
"PAFAH1B2","0.410","0.484","0.491","1","hsa-miR-503-5p","",""
"PARD6B","0.410","0.484","0.491","1","hsa-miR-503-5p","",""
"PIK3R1","0.410","0.484","0.491","1","hsa-miR-503-5p","",""
"ROBO1","0.410","0.484","0.491","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"ARID5B","0.422","0.491","0.509","1","hsa-miR-24-3p","",""
"DCUN1D5","0.422","0.491","0.509","1","hsa-miR-24-3p","",""
"DNAL1","0.422","0.491","0.509","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"EYA4","0.422","0.491","0.509","1","hsa-miR-24-3p","",""
"GRAMD1B","0.422","0.491","0.509","1","hsa-miR-24-3p","",""
"MEF2A","0.422","0.491","0.509","1","hsa-miR-24-3p","",""
"MLEC","0.422","0.491","0.509","1","hsa-miR-24-3p","",""
"NAV1","0.422","0.491","0.509","1","hsa-miR-503-5p","",""
"PARP8","0.422","0.491","0.509","1","hsa-miR-215-5p","",""
"PCDH10","0.422","0.491","0.509","1","hsa-miR-24-3p","",""
"PCNP","0.422","0.491","0.509","1","hsa-miR-215-5p","",""
"RAD54L2","0.422","0.491","0.509","1","hsa-miR-24-3p","",""
"RFX7","0.422","0.491","0.509","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"RUNX1","0.422","0.491","0.509","1","hsa-miR-215-5p","",""
"SMURF1","0.422","0.491","0.509","1","hsa-miR-503-5p","",""
"TPRG1","0.422","0.491","0.509","1","hsa-miR-503-5p","",""
"USP31","0.422","0.491","0.509","1","hsa-miR-503-5p","",""
"ZNF654","0.422","0.491","0.509","1","hsa-miR-24-3p","",""
"BACE1","0.434","0.496","0.527","1","hsa-miR-24-3p","",""
"C16orf52","0.434","0.496","0.527","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"CASK","0.434","0.496","0.527","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"CCDC85C","0.434","0.496","0.527","1","hsa-miR-24-3p","",""
"DCAF7","0.434","0.496","0.527","1","hsa-miR-503-5p","",""
"DDHD1","0.434","0.496","0.527","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
