"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4"
"G2E3","0.223","0.305","0.249","1","hsa-miR-215-5p","","",""
"GMPS","0.223","0.305","0.249","1","hsa-miR-24-3p","","",""
"HIST2H2AA3","0.223","0.305","0.249","1","hsa-miR-425-3p","","",""
"KCTD21","0.223","0.305","0.249","1","hsa-miR-4677-3p","","",""
"MRPL44","0.223","0.305","0.249","1","hsa-miR-4677-3p","","",""
"OSMR","0.223","0.305","0.249","1","hsa-miR-24-3p","","",""
"RMDN1","0.223","0.305","0.249","1","hsa-miR-24-3p","","",""
"SEC23B","0.223","0.305","0.249","1","hsa-miR-215-5p","","",""
"SPIN4","0.223","0.305","0.249","1","hsa-miR-24-3p","","",""
"STON2","0.223","0.305","0.249","1","hsa-miR-146a-5p","","",""
"UCK2","0.223","0.305","0.249","1","hsa-miR-24-3p","","",""
"CEP57L1","0.227","0.307","0.254","1","hsa-miR-24-3p","","",""
"DUSP7","0.227","0.307","0.254","1","hsa-miR-24-3p","","",""
"ENTPD7","0.227","0.307","0.254","1","hsa-miR-215-5p","","",""
"ESF1","0.227","0.307","0.254","1","hsa-miR-24-3p","","",""
"GEN1","0.227","0.307","0.254","1","hsa-miR-215-5p","","",""
"LIAS","0.227","0.307","0.254","1","hsa-miR-24-3p","","",""
"NLN","0.227","0.307","0.254","1","hsa-miR-3074-5p","","",""
"NOTCH2","0.227","0.307","0.254","1","hsa-miR-146a-5p","","",""
"OCRL","0.227","0.307","0.254","1","hsa-miR-503-5p","","",""
"PAWR","0.227","0.307","0.254","1","hsa-miR-215-5p","","",""
"PCP4L1","0.227","0.307","0.254","1","hsa-miR-4677-3p","","",""
"PEX2","0.227","0.307","0.254","1","hsa-miR-24-3p","","",""
"RBL1","0.227","0.307","0.254","1","hsa-miR-24-3p","","",""
"SLC35G1","0.227","0.307","0.254","1","hsa-miR-215-5p","","",""
"SORD","0.227","0.307","0.254","1","hsa-miR-24-3p","","",""
"TMEM241","0.227","0.307","0.254","1","hsa-miR-24-3p","","",""
"TPM4","0.227","0.307","0.254","1","hsa-miR-215-5p","","",""
"UBE2D2","0.227","0.307","0.254","1","hsa-miR-215-5p","","",""
