"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5"
"EPM2A","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
"ERCC3","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
"ERICH5","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
"EXOSC1","0.0252","0.206","0.0254","1","hsa-miR-24-3p","","","",""
"FAM241B","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
"FBL","0.0252","0.206","0.0254","1","hsa-miR-324-5p","","","",""
"FBXO34","0.0252","0.206","0.0254","1","hsa-miR-24-3p","","","",""
"FNTB","0.0252","0.206","0.0254","1","hsa-miR-24-3p","","","",""
"GABPB2","0.0211","0.206","0.114","2","hsa-miR-425-3p","hsa-miR-6511a-3p","","",""
"GALNT12","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
"GPR19","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
"HINT3","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
"HNRNPD","0.0197","0.206","0.110","2","hsa-miR-146b-5p","hsa-miR-2110","","",""
"HSD17B4","0.0252","0.206","0.0254","1","hsa-miR-324-5p","","","",""
"HYLS1","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
"IFI27","0.0252","0.206","0.0254","1","hsa-miR-146a-5p","","","",""
"IFI44","0.0252","0.206","0.0254","1","hsa-miR-146a-5p","","","",""
"IFT46","0.0252","0.206","0.0254","1","hsa-miR-6750-3p","","","",""
"ITGB2","0.0252","0.206","0.0254","1","hsa-miR-146a-5p","","","",""
"KCNJ14","0.0252","0.206","0.0254","1","hsa-miR-24-3p","","","",""
"KDM4D","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
"KIF20B","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
